name,school,place,category
 Charla Adkison , Kinston High School ," Kinston , Alabama ", 1985 Award | 7-12 Science 
 Earl Ockenga , Malcolm Price Laboratory Sch. ," Cedar Falls , Iowa ", 1989 Award | 7-12 Mathematics 
 Dianne Olix , Fairmont High School ," Kettering , Ohio ", 1989 Award | 7-12 Mathematics 
 John Pauls , Alderwood Middle School ," Lynnwood , Washington ", 1989 Award | 7-12 Science 
 Richard Pease , Leone High School ," Pago Pago , American Samoa ", 1989 Award | 7-12 Science 
 Leona Penner , Lincoln East Jr-Sr High School ," Lincoln , Nebraska ", 1989 Award | 7-12 Mathematics 
 Carmen M. Perez Gonzalez , Eugenio M. de Hostos ," Mayaguez , Puerto Rico ", 1989 Award | 7-12 Mathematics 
 Mary Provost , North Smithfield Jr/Sr High ," North Smithfield , Rhode Island ", 1989 Award | 7-12 Mathematics 
 Joan Reinthaler , Sidwell Friends School ," Washington , District of Columbia ", 1989 Award | 7-12 Mathematics 
 Diann Resnick , Bellaire High School ," Bellaire , Texas ", 1989 Award | 7-12 Mathematics 
 Philip Reynolds , Niskayuna High School ," Schenectady , New York ", 1989 Award | 7-12 Mathematics 
 Tara S. Rickart , Nonnewaug High School ," Woodbury , Connecticut ", 1989 Award | 7-12 Mathematics 
 Elizabeth Roseborough , Taylor Allderdice High School ," Pittsburgh , Pennsylvania ", 1989 Award | 7-12 Mathematics 
 Joseph Ruhl , Jefferson High School ," Lafayette , Indiana ", 1989 Award | 7-12 Science 
 Victoria Sanchez , Van Buren Middle School ," Albuquerque , New Mexico ", 1989 Award | 7-12 Science 
 Stewart Schultz , West Bloomfield High School ," West Bloomfield , Michigan ", 1989 Award | 7-12 Science 
 Deborah Seldomridge , Keyser High School ," Keyser , West Virginia ", 1989 Award | 7-12 Mathematics 
 Carolyn Sessions , LSU Laboratory School ," Baton Rouge , Louisiana ", 1989 Award | 7-12 Mathematics 
 Susan Shumate , Edmond Memorial High School ," Edmond , Oklahoma ", 1989 Award | 7-12 Mathematics 
 Jeffrey Smith , Midwest City High ," Midwest City , Oklahoma ", 1989 Award | 7-12 Science 
 Susan Soltau , Essex High School ," Essex Junction , Vermont ", 1989 Award | 7-12 Mathematics 
 James Sproull , McLean High School ," McLean , Virginia ", 1989 Award | 7-12 Science 
 Luann Stehr , Minot High School ," Minot , North Dakota ", 1989 Award | 7-12 Mathematics 
 Joyce Stevens , Cascade Junior High School ," Auburn , Washington ", 1989 Award | 7-12 Mathematics 
 Joseph Stieve , Spring Valley High School ," Columbia , South Carolina ", 1989 Award | 7-12 Science 
" Harrison W. Straley, IV ", Woodberry Forest School ," Woodberry Forest , Virginia ", 1989 Award | 7-12 Mathematics 
 Floyd Sturtevant , Ames High School ," Ames , Iowa ", 1989 Award | 7-12 Science 
 Anne Suk , Nampa Senior High School ," Nampa , Idaho ", 1989 Award | 7-12 Mathematics 
 Harold Taylor , Hillsdale High School ," San Mateo , California ", 1989 Award | 7-12 Mathematics 
 Larry M. Thomason , North Rowan High School ," Spencer , North Carolina ", 1989 Award | 7-12 Mathematics 
 Greg Thurmon , Salisbury R-IV High School ," Salisbury , Missouri ", 1989 Award | 7-12 Science 
 Ronald E. Townsend , Fayetteville High School ," Fayetteville , Arkansas ", 1989 Award | 7-12 Mathematics 
 Judith Treharne , Ocean Township High School ," Oakhurst , New Jersey ", 1989 Award | 7-12 Science 
 John Trimble , Corona del Sol High School ," Tempe , Arizona ", 1989 Award | 7-12 Science 
 Carol-ann Tripp , Providence Country Day School ," East Providence , Rhode Island ", 1989 Award | 7-12 Science 
 Velma Tyson , Elena L. Christian Jr. H.S. ," St. Croix , Virgin Islands ", 1989 Award | 7-12 Mathematics 
 Ellis Underkoffler , Talley Jr. High School ," Wilmington , Delaware ", 1989 Award | 7-12 Science 
 Beverly G. Van Camp , Bethel Jr/Sr High School ," Bethel , Alaska ", 1989 Award | 7-12 Mathematics 
 Kenneth VanLew , Frankfurt American High School ," APO , New York ", 1989 Award | 7-12 Science 
 Larry Williams , Eutaw High School ," Eutaw , Alabama ", 1989 Award | 7-12 Mathematics 
 Richard Williamson , Olathe South High School ," Olathe , Kansas ", 1989 Award | 7-12 Science 
 Jay Zimmerman , Brookfield Central High School ," Brookfield , Wisconsin ", 1989 Award | 7-12 Science 
 Susan Zoltewicz , Eastside High School ," Gainesville , Florida ", 1989 Award | 7-12 Science 
,,,
 Linda Agreen , Eleanor Roosevelt High School ," Greenbelt , Maryland ", 1992 Award | 7-12 Mathematics 
 Pamela Argabrite , Jeffersontown High School ," Louisville , Kentucky ", 1992 Award | 7-12 Mathematics 
 Pamela Atha , Van Elementary School ," Van , West Virginia ", 1992 Award | K-6 Science 
 Robert Baar , Louisville Male High School ," Louisville , Kentucky ", 1992 Award | 7-12 Science 
 William Badders , Cleveland Public Schools ," Cleveland , Ohio ", 1992 Award | K-6 Science 
 Kay Johnson Balch , Mountain Brook Junior High School ," Birmingham , Alabama ", 1992 Award | 7-12 Mathematics 
 Margot Banke , P.S. 216-The Arturo Toscanini School ," Brooklyn , New York ", 1992 Award | K-6 Mathematics 
 Gayle Batten , Thomasville Primary ," Thomasville , North Carolina ", 1992 Award | K-6 Mathematics 
 Glenys Bell , Brea Olinda High School ," Brea , California ", 1992 Award | 7-12 Mathematics 
 Lucila de Leon Bello , Rosa Maria Rodriguez School ," Vega Baja , Puerto Rico ", 1992 Award | K-6 Science 
 Darlene Bender , Centennial Elementary School ," Bismarck , North Dakota ", 1992 Award | K-6 Science 
 Sandra Berry , Georges Valley High School ," Thomaston , Maine ", 1992 Award | 7-12 Mathematics 
 Ruby Best - Hunter , Draper Elementary School ," Washington , District of Columbia ", 1992 Award | K-6 Mathematics 
 L. Charles Biehl , The Charter School of Wilmington ," Wilmington , Delaware ", 1992 Award | 7-12 Mathematics 
 Florence Blackwood , Liberty Elementary School ," Franklin , Tennessee ", 1992 Award | K-6 Science 
 Lois Blondeau , University High School ," Tucson , Arizona ", 1992 Award | 7-12 Science 
 Berenice Blum-Bart , Perry L. Drew School ," East Windsor , New Jersey ", 1992 Award | K-6 Science 
 Helen Boothe , Manchester Middle School ," Richmond , Virginia ", 1992 Award | K-6 Science 
 Michele Bouchard , Pirmasens Elementary School ," APO , Armed Forces Europe ", 1992 Award | K-6 Science 
" John Brady, III ", Brentwood Middle School ," Brentwood , Tennessee ", 1992 Award | 7-12 Mathematics 
 Joyce Bruchey , Green Valley Elementary School ," Monrovia , Maryland ", 1992 Award | K-6 Mathematics 
 Donna Buck , Port Angeles School District Elementary Schools ," Port Angeles , Washington ", 1992 Award | K-6 Mathematics 
 Timothy Burgess , S.S. Murphy High School ," Mobile , Alabama ", 1992 Award | 7-12 Science 
 Carl Burnside , Cypress Lake High School ," Fort Myers , Florida ", 1992 Award | 7-12 Mathematics 
 Nancy Campbell , Lovett Elementary School ," Clinton , Mississippi ", 1992 Award | K-6 Mathematics 
 Patricia Cancilla-Hahn , Silas Deane Middle School ," Wethersfield , Connecticut ", 1992 Award | 7-12 Mathematics 
 Veronica Carlson , Moon Valley High School ," Phoenix , Arizona ", 1992 Award | 7-12 Mathematics 
 Earl Carlyon , Manchester High School ," Manchester , Connecticut ", 1992 Award | 7-12 Science 
 Paul Cassens , Tafuna High School ," Pago Pago , American Samoa ", 1992 Award | 7-12 Science 
 Traci Caves , Chenega Bay School ," Chenega Bay , Alaska ", 1992 Award | K-6 Science 
 Julia Cazin , Daniels Middle School ," Raleigh , North Carolina ", 1992 Award | 7-12 Mathematics 
 Marlene Chapman , Forest Acres Elementary School ," Easley , South Carolina ", 1992 Award | K-6 Mathematics 
 Christopher Chilelli , Asa C. Adams School ," Orono , Maine ", 1992 Award | K-6 Science 
 C. Christensen , Malcolm Price Laboratory School ," Cedar Falls , Iowa ", 1992 Award | K-6 Science 
 Thomas Christie , Cordley Elementary School ," Lawrence , Kansas ", 1992 Award | K-6 Science 
 Anita Clark , Marshall High School ," Marshall , Michigan ", 1992 Award | 7-12 Mathematics 
 Barbara Clark , Checotah Public Schools ," Checotah , Oklahoma ", 1992 Award | K-6 Science 
 Lynette Clifford , Christopher Rhodes Elementary School ," Warwick , Rhode Island ", 1992 Award | K-6 Science 
 Angel Colon Diaz , Santa Mar&#xC3;&#x192;??a del Camino ," Carolina , Puerto Rico ", 1992 Award | K-6 Mathematics 
 Gary Cooper , Fort Greely School ," Delta Jct. , Alaska ", 1992 Award | 7-12 Science 
 Gregory Coppa , East Greenwich High School ," East Greenwich , Rhode Island ", 1992 Award | 7-12 Science 
 Peggy Covington , College Station Elementary School ," College Station , Arkansas ", 1992 Award | K-6 Mathematics 
 Ida Lynn Cowart , Cody Elementary School ," Omaha , Nebraska ", 1992 Award | K-6 Mathematics 
 John Cowens , Greenwood Elementary School ," La Grande , Oregon ", 1992 Award | K-6 Science 
 Joanne Curran , Old Bonhomme School ," Olivette , Missouri ", 1992 Award | K-6 Mathematics 
 Donald Davis , Westmoreland Elementary School ," Westmoreland , New Hampshire ", 1992 Award | 7-12 Science 
 Alice Dollar , East Knox County Elementary School ," Mascot , Tennessee ", 1992 Award | K-6 Mathematics 
 James Dudley , Rio Grande High School ," Albuquerque , New Mexico ", 1992 Award | 7-12 Mathematics 
 Patricia Eberhardt , Hammond High School ," Hammond , Louisiana ", 1992 Award | 7-12 Mathematics 
 Sally Edgerton-Bell , Hilton Elementary School #021 ," Baltimore , Maryland ", 1992 Award | K-6 Science 
 Nancy Edwards , U. of Delaware Laboratory Preschool ," Newark , Delaware ", 1992 Award | K-6 Mathematics 
 Laurel Eisinger , Kaiserslautern Elementary School ," APO , Armed Forces Europe ", 1992 Award | K-6 Mathematics 
 Ted Ellingson , Howard Elementary School ," Howard , South Dakota ", 1992 Award | K-6 Science 
 Monica Ellis , Indian Creek Elementary School ," Indianapolis , Indiana ", 1992 Award | K-6 Science 
 Marion Exum , Eliot Junior High School ," Washington , District of Columbia ", 1992 Award | 7-12 Mathematics 
 Jeffrey Feidler , Burnett Elementary School ," Wilmington , Delaware ", 1992 Award | K-6 Science 
 Sharyn Fenwick , Pillsbury Math/Science/Tech School ," Minneapolis , Minnesota ", 1992 Award | K-6 Science 
 Mary Fitzgerald , Henry Barnard Sch-Rhode Island Coll ," Providence , Rhode Island ", 1992 Award | K-6 Mathematics 
 Wilson Flight , Concord-Carlisle Regional High School ," Concord , Massachusetts ", 1992 Award | 7-12 Science 
 Judith Flores , Shasta Meadows School ," Redding , California ", 1992 Award | K-6 Mathematics 
 Elizabeth Floyd , Pickens Junior High School ," Pickens , South Carolina ", 1992 Award | 7-12 Mathematics 
 James Foley , Fred Moore Junior High School ," Anoka , Minnesota ", 1992 Award | 7-12 Mathematics 
 Robert Foor-Hogue , South Carroll High School ," Sykesville , Maryland ", 1992 Award | 7-12 Science 
 Lynn Fox , Mark Twain Elementary School ," Tulsa , Oklahoma ", 1992 Award | K-6 Mathematics 
 Susan Fredrickson , Wellsville Elementary School ," Wellsville , Utah ", 1992 Award | K-6 Science 
 Sharon Freehill , Harrison High School ," Colorado Springs , Colorado ", 1992 Award | 7-12 Science 
 Yvonne Freeman , Joseph Gomez Elementary School ," St. Thomas , Virgin Islands ", 1992 Award | K-6 Mathematics 
 Michael Funk , Libby Senior High School ," Libby , Montana ", 1992 Award | 7-12 Science 
 Gayle Garrison , Heritage High School ," Conyers , Georgia ", 1992 Award | 7-12 Mathematics 
 Susan Gazlay , AIMS Education Foundation ," Fresno , California ", 1992 Award | K-6 Science 
 Roma Geiger , Groton Elementary School ," Groton , New York ", 1992 Award | K-6 Science 
 Janet Gerking , Laramie High School ," Laramie , Wyoming ", 1992 Award | 7-12 Science 
 Heather Giancola , Springdale Elementary School ," Stamford , Connecticut ", 1992 Award | K-6 Mathematics 
 Deborah Gibbens , McKelvie Middle School ," Bedford , New Hampshire ", 1992 Award | K-6 Mathematics 
 Lory Gilbert , Proctor Hug High School ," Reno , Nevada ", 1992 Award | 7-12 Science 
 Janeane Golliher , Columbine Elementary School ," Longmont , Colorado ", 1992 Award | K-6 Mathematics 
 B. Joan Goodman , Raymond Gabaldon Elementary School ," Los Lunas , New Mexico ", 1992 Award | K-6 Mathematics 
 Becky Goodwin , Kansas School for the Deaf ," Olathe , Kansas ", 1992 Award | 7-12 Science 
 Michael Gralish , The Learning Box ," Arlington , Texas ", 1992 Award | K-6 Mathematics 
 Karen Grass , Coventry Elementary School ," Yorktown , Virginia ", 1992 Award | K-6 Mathematics 
 Kathryn Green , Hillsboro High School ," Hillsboro , Oregon ", 1992 Award | 7-12 Science 
 Mildred Griffin , ," Coto Laurel , Puerto Rico ", 1992 Award | 7-12 Science 
 Anna Grimes , Allisonville Elementary School ," Indianapolis , Indiana ", 1992 Award | K-6 Mathematics 
 Eileen Gruenwald , Coeur d&apos;Alene High School ," Coeur d&apos;Alene , Idaho ", 1992 Award | 7-12 Mathematics 
 Jodean Grunow , Dodgeville Middle School ," Dodgeville , Wisconsin ", 1992 Award | 7-12 Mathematics 
 Bonnie Hagelberger , Monroe Elementary School ," Minneapolis , Minnesota ", 1992 Award | K-6 Mathematics 
 Aletha Halcomb , North High School ," Minneapolis , Minnesota ", 1992 Award | 7-12 Science 
 Barbara Hall , Alief Elsik High School ," Alief , Texas ", 1992 Award | 7-12 Mathematics 
 Linda Hall , Clinton Middle School ," Tulsa , Oklahoma ", 1992 Award | 7-12 Mathematics 
 Debra Hanson , Caloosa Middle School ," Cape Coral , Florida ", 1992 Award | 7-12 Science 
 Stephenne Harding , Cornelius Hedges Elementary School ," Kalispell , Montana ", 1992 Award | K-6 Mathematics 
 Elizabeth Heindl , Mill Valley School ," Muskego , Wisconsin ", 1992 Award | K-6 Science 
 Suzanne Henning , Tanana City School District ," Tanana , Alaska ", 1992 Award | K-6 Mathematics 
 Theresa Higgins , Fort Mill Elementary School ," Fort Mill , South Carolina ", 1992 Award | K-6 Science 
 Betty Hight , Westside School ," Pittsburg , Kansas ", 1992 Award | K-6 Mathematics 
 Betty Hill , Central Elementary School ," Cabot , Arkansas ", 1992 Award | K-6 Science 
 Lillie Hilts , John Adams Junior High School ," Charleston , West Virginia ", 1992 Award | 7-12 Science 
 Beverly Alaine Hinckley , Horace Mann School ," Melrose , Massachusetts ", 1992 Award | K-6 Science 
 Ann Hines , Crest Hill Elementary School ," Casper , Wyoming ", 1992 Award | K-6 Mathematics 
 LouAnn Hoffman , Enders-Fisherville-Halifax School District ," Halifax , Pennsylvania ", 1992 Award | K-6 Mathematics 
 Kathy Horsted , Jane Addams Elementary School ," Sioux Falls , South Dakota ", 1992 Award | K-6 Mathematics 
 Gail Howe , Eastwood Elementary School ," Salt Lake City , Utah ", 1992 Award | K-6 Mathematics 
 Elizabeth Hulbert , Ward Five Elementary School ," Barre , Vermont ", 1992 Award | K-6 Mathematics 
 Mara Jambor , Cahaba Heights Community School ," Birmingham , Alabama ", 1992 Award | K-6 Mathematics 
 Mary Jerome-Williams , Thompson Middle School ," Newport , Rhode Island ", 1992 Award | 7-12 Mathematics 
 Charles Jervis , Auburn High and Middle School ," Riner , Virginia ", 1992 Award | 7-12 Science 
" Arthur V. Johnson, II ", Nashua Senior High School ," Nashua , New Hampshire ", 1992 Award | 7-12 Mathematics 
 Brenda Jones , John Tyler Elementary School ," Washington , District of Columbia ", 1992 Award | K-6 Science 
 Jane Jones , Arkadelphia High School ," Arkadelphia , Arkansas ", 1992 Award | 7-12 Mathematics 
 Curt Julian , East Senior High School ," Green Bay , Wisconsin ", 1992 Award | 7-12 Science 
 Sylvia S. Kaizuka , Benjamin Parker School ," Kaneohe , Hawaii ", 1992 Award | K-6 Science 
 John Kasting , East High School ," Columbus , Indiana ", 1992 Award | 7-12 Science 
 Tayeko Kaufman , Kent Middle School ," Kentfield , California ", 1992 Award | 7-12 Science 
 Dennis Kawamoto , Kipapa Elementary School ," Mililani , Hawaii ", 1992 Award | K-6 Mathematics 
 Page Keeley , Maine Math and Science Alliance ," Augusta , Maine ", 1992 Award | 7-12 Science 
 Thomas Kelly , Grandville Public Schools ," Grandville , Michigan ", 1992 Award | K-6 Science 
 Patricia Kenzig , St. John Bosco School ," Parma Heights , Ohio ", 1992 Award | 7-12 Science 
 Debra Kerr , State College Area Junior High School ," State College , Pennsylvania ", 1992 Award | 7-12 Mathematics 
 Jamie Key , William H. Natcher Elementary School ," Bowling Green , Kentucky ", 1992 Award | K-6 Mathematics 
 Delise Kirkeide , Harvey High School ," Harvey , North Dakota ", 1992 Award | 7-12 Science 
 Margaret Kleinfelder , Woodsville Elementary School ," Woodsville , New Hampshire ", 1992 Award | K-6 Science 
 Susan Koba , Omaha North High School ," Omaha , Nebraska ", 1992 Award | 7-12 Science 
" William Kring, Sr. ", Educational Sevice District 112 ," Portland , Oregon ", 1992 Award | 7-12 Mathematics 
 Marion Lardner , Earl Hanson Elementary School ," Rock Island , Illinois ", 1992 Award | K-6 Science 
 Richard Lechner , Greybull Middle School ," Greybull , Wyoming ", 1992 Award | 7-12 Mathematics 
 Karen Lee , Moon Mountain School ," Phoenix , Arizona ", 1992 Award | K-6 Science 
 Barbara Leonard , Jefferson Elementary School ," Pueblo , Colorado ", 1992 Award | K-6 Science 
 Patsy Lindsey , Hager Elementary School ," Ashland , Kentucky ", 1992 Award | K-6 Science 
 Patricia Lofgren , Mathematics Education Collaborative ," Bellingham , Washington ", 1992 Award | K-6 Mathematics 
 Karen Longhart , Flathead High School ," Kalispell , Montana ", 1992 Award | 7-12 Mathematics 
 Tedi Lund , Millard North High School ," Omaha , Nebraska ", 1992 Award | 7-12 Mathematics 
 Debra Macks , Minocqua-Hazelhurst-Lake Tomahawk ," Minocqua , Wisconsin ", 1992 Award | K-6 Mathematics 
 Nancy Jean MacNeill , The Mississippi School for Math &amp; Science ," Columbus , Mississippi ", 1992 Award | 7-12 Science 
 Elizabeth Marquez , North Brunswick Township High School ," North Brunswick , New Jersey ", 1992 Award | 7-12 Mathematics 
 Carolyn Mayes , Elkhart Memorial High School ," Elkhart , Indiana ", 1992 Award | 7-12 Mathematics 
 Anne B. McDonald , Sam Houston High School ," Lake Charles , Louisiana ", 1992 Award | 7-12 Science 
 Susan McGlothen , Logan County Schools ," Logan , West Virginia ", 1992 Award | K-6 Mathematics 
 Daniel F. McGrail , Carlisle Community High School ," Carlisle , Iowa ", 1992 Award | 7-12 Science 
 Joseph McInerney , McCarthy-Towne School ," Acton , Massachusetts ", 1992 Award | K-6 Mathematics 
 Linda J. McMahan , Old Greenwich School ," Old Greenwich , Connecticut ", 1992 Award | K-6 Science 
" Robert L. Medeck, Sr. ", Yankton High School ," Yankton , South Dakota ", 1992 Award | 7-12 Science 
 Kathleen Melvin , Polytech High School ," Woodside , Delaware ", 1992 Award | 7-12 Science 
 Mary Modene , Red Bud Elementary School ," Red Bud , Illinois ", 1992 Award | K-6 Mathematics 
 Julia Morales , Tejas Second Unit ," Yabucoa , Puerto Rico ", 1992 Award | 7-12 Mathematics 
 Jill Moser , Stilwell Junior High ," West Des Moines , Iowa ", 1992 Award | 7-12 Mathematics 
 Brett D. Moulding , Roy High School ," Roy , Utah ", 1992 Award | 7-12 Science 
 Debra Mowery , Lee County Middle School ," Leesburg , Georgia ", 1992 Award | 7-12 Science 
 Carol Murphy , Rapid City Central High School ," Rapid City , South Dakota ", 1992 Award | 7-12 Mathematics 
 Madelyn Neathery , San Jacinto Elementary School ," Deer Park , Texas ", 1992 Award | K-6 Science 
 Laura Norsworthy , Pontchartrain Elementary School ," Mandeville , Louisiana ", 1992 Award | K-6 Science 
 Mary Nutt , San Miguel School ," Socorro , New Mexico ", 1992 Award | 7-12 Science 
 Kathleen O'Malley , James B. Castle High School ," Kaneohe , Hawaii ", 1992 Award | 7-12 Science 
 Sandra Patrick , Page Elementary School ," Scottsboro , Alabama ", 1992 Award | K-6 Science 
 Virginia Perino , ," Munnsville , New York ", 1992 Award | 7-12 Science 
 Lynda Peterson , Osborne High School ," Marietta , Georgia ", 1992 Award | 7-12 Science 
 Betty Phillips , Richview Middle School ," Clarksville , Tennessee ", 1992 Award | 7-12 Science 
 Barbara Pietrucha , Neptune Middle School ," Neptune , New Jersey ", 1992 Award | 7-12 Science 
 Barbara Piper , Clarkdale Elementary School ," Austell , Georgia ", 1992 Award | K-6 Science 
" Robert Poth, Jr. ", Tyrone Elementary School ," St. Petersburg , Florida ", 1992 Award | K-6 Science 
 Nancy Powell , Bloomington High School ," Bloomington , Illinois ", 1992 Award | 7-12 Mathematics 
" John Proach, OSF ", Bishop McDevitt High School ," Wyncote , Pennsylvania ", 1992 Award | 7-12 Science 
 Patricia Robertson , Williamsburg Middle School ," Arlington , Virginia ", 1992 Award | 7-12 Mathematics 
 Carol Ross , Bellevue High School ," Bellevue , Washington ", 1992 Award | 7-12 Mathematics 
 Nancy Royal , Elm Street Elementary School ," Newnan , Georgia ", 1992 Award | K-6 Mathematics 
 Lynn Royer , Windemere View Elementary School ," Lansing , Michigan ", 1992 Award | K-6 Mathematics 
 Ruthanne Rust , Denali Elementary School ," Fairbanks , Alaska ", 1992 Award | K-6 Science 
 Dick Sander , Ketchikan High School ," Ketchikan , Alaska ", 1992 Award | 7-12 Mathematics 
 Catherine Sanor , West Branch High School ," Beloit , Ohio ", 1992 Award | 7-12 Mathematics 
 Susan Seaman , Priest River Elementary School ," Priest River , Idaho ", 1992 Award | K-6 Mathematics 
 Robin. Sellen , Mesa Elementary School ," Shiprock , New Mexico ", 1992 Award | K-6 Science 
 Linda Selvig , Centennial High School ," Boise , Idaho ", 1992 Award | 7-12 Science 
 Terry Shaw , Irving Middle School ," Norman , Oklahoma ", 1992 Award | 7-12 Science 
 Melinda Shields , Palmer Junior High School ," Independence , Missouri ", 1992 Award | 7-12 Mathematics 
 Vicki Shirley , Corinth High School ," Corinth , Mississippi ", 1992 Award | 7-12 Mathematics 
 Dwight Sieggreen , Ida B. Cooke Middle School ," Northville , Michigan ", 1992 Award | 7-12 Science 
 Chu Ying Singletary , Nanakuli High and Intermediate School ," Waianae , Hawaii ", 1992 Award | 7-12 Mathematics 
 Cyrene Slegona , Cornish Elementary School ," Cornish , Maine ", 1992 Award | K-6 Mathematics 
 Robert Sload , J.L. McCullough High School ," The Woodlands , Texas ", 1992 Award | 7-12 Science 
 Judy Smith , Bismarck High School ," Bismarck , Arkansas ", 1992 Award | 7-12 Science 
 Pamela Smith , Hawthorne Elementary School ," Hastings , Nebraska ", 1992 Award | K-6 Science 
 Jeanne Spawn , Park Elementary School ," Casper , Wyoming ", 1992 Award | K-6 Science 
 James Stankevitz , Wheaton Warrenville South High School ," Wheaton , Illinois ", 1992 Award | 7-12 Science 
 Jackie Stevens , Northeast Lauderdale Elementary School ," Meridian , Mississippi ", 1992 Award | K-6 Science 
 Sharon Stites , Washington Elementary School ," Valley City , North Dakota ", 1992 Award | K-6 Mathematics 
 Sharon Strating ," Brown Hall, Room 108 "," Maryville , Missouri ", 1992 Award | K-6 Science 
 Lois Swineford , Suncrest Junior High School ," Morgantown , West Virginia ", 1992 Award | 7-12 Mathematics 
 Deanna TeBockhorst , Frank Porter Graham Elementary School ," Chapel Hill , North Carolina ", 1992 Award | K-6 Science 
 Terry Thode , Hemingway Elementary School ," Ketchum , Idaho ", 1992 Award | K-6 Science 
 Eleanor Thomas , Northwood Elementary School ," Ames , Iowa ", 1992 Award | K-6 Mathematics 
 Ron Thompson , Sammamish High School ," Bellevue , Washington ", 1992 Award | 7-12 Science 
 Martha Tietze , Shawnee Mission Northwest High School ," Shawnee , Kansas ", 1992 Award | 7-12 Mathematics 
 Kay Toliver , East Harlem Tech ," New York , New York ", 1992 Award | 7-12 Mathematics 
 Carol Tremper , Marian Emmons McKeown School ," Newton , New Jersey ", 1992 Award | K-6 Mathematics 
 Etuale Tuileta , Leone High School ," Pago Pago , American Samoa ", 1992 Award | 7-12 Mathematics 
 William Vinton , St. Johnsbury Academy ," Saint Johnsbury , Vermont ", 1992 Award | 7-12 Science 
 Cathleen Wagner , Joshua Dixon Elementary School ," Columbiana , Ohio ", 1992 Award | K-6 Mathematics 
 Joseph Walsh , Roosevelt Elementary ," Long Beach , California ", 1992 Award | K-6 Mathematics 
 Carla Wambach , Smith Elementary School ," Helena , Montana ", 1992 Award | K-6 Science 
 Jean Ward , Manchester Elementary School ," Manchester Center , Vermont ", 1992 Award | K-6 Science 
 Kris Warloe , Cheldelin Middle School ," Corvallis , Oregon ", 1992 Award | 7-12 Mathematics 
 Pamela Warrick , Fulda American High School ," APO , Armed Forces Europe ", 1992 Award | 7-12 Mathematics 
 Janet Washek , Jim Hill Junior High School ," Minot , North Dakota ", 1992 Award | 7-12 Mathematics 
 Cindy Watson-Cunningham , South Ogden Jr. High School ," Ogden , Utah ", 1992 Award | 7-12 Mathematics 
 Diane Weaver , Morey Middle School ," Denver , Colorado ", 1992 Award | 7-12 Mathematics 
 Eric Weiss , U-32 Jr./Sr. High School ," Montpelier , Vermont ", 1992 Award | 7-12 Mathematics 
 Glenn Westover , McCluer North High School ," Florissant , Missouri ", 1992 Award | 7-12 Science 
 Nona Whipple , Dorothy Eisenberg Elementary School ," Las Vegas , Nevada ", 1992 Award | K-6 Science 
 Barbara White , NAU-Yavapai ," Wildwood , Arizona ", 1992 Award | K-6 Mathematics 
 Rosemary Wicker , Laurens Junior High School ," Laurens , South Carolina ", 1992 Award | 7-12 Science 
 Mary Wilson , Elizabeth Lenz Elementary School ," Reno , Nevada ", 1992 Award | K-6 Mathematics 
 David Wood , Sidwell Friends School ," Washington , District of Columbia ", 1992 Award | 7-12 Science 
 Jerilyn Woodson , Bernard Terrace Elementary School ," Baton Rouge , Louisiana ", 1992 Award | K-6 Mathematics 
 James Woody , Walter Hines Page High School ," Greensboro , North Carolina ", 1992 Award | 7-12 Science 
 Jane Young , Newton South High School ," Newton Center , Massachusetts ", 1992 Award | 7-12 Mathematics 
 Kenneth Zellner , Kernsville Elementary School ," Orefield , Pennsylvania ", 1992 Award | K-6 Science 
,,,
 Patricia Ahlborn , Wilmington Christian School ," Hockessin , Delaware ", 1991 Award | 7-12 Mathematics 
 Benita Albert , Oak Ridge High School ," Oak Ridge , Tennessee ", 1991 Award | 7-12 Mathematics 
 Barbara Albritton , Cox Elementary ," Moultrie , Georgia ", 1991 Award | K-6 Mathematics 
 Jan Alderson , Raytown South High ," Raytown , Missouri ", 1991 Award | 7-12 Science 
 Patricia Atkins , East Elementary School ," Corinth , Mississippi ", 1991 Award | K-6 Science 
 Janet Baldwin , West Park Place Elementary ," Newark , Delaware ", 1991 Award | K-6 Mathematics 
 Elza Ballew , Robert D. Edgren High School ," APO San Francisco , ", 1991 Award | 7-12 Mathematics 
 Barbara Bannister , Edwards Elementary School ," Portland , Oregon ", 1991 Award | K-6 Science 
 Robert Barefoot , Chaparral High School ," Scottsdale , Arizona ", 1991 Award | 7-12 Mathematics 
 Gary Bauer , C. M. Russell High School ," Great Falls , Montana ", 1991 Award | 7-12 Mathematics 
 Nancy Belsky , Westmoreland School ," Westmoreland , New Hampshire ", 1991 Award | K-6 Mathematics 
 Gary Bender , FNSBSD Administrative Center ," Fairbanks , Alaska ", 1991 Award | 7-12 Science 
 Imogene Bennett , Chaparral High School ," Scottsdale , Arizona ", 1991 Award | 7-12 Science 
 Cecile Beougher , , , 1991 Award | K-6 Mathematics 
 Judy Bishop , Albert S. Hall School ," Waterville , Maine ", 1991 Award | K-6 Mathematics 
 Jean Black , Sunnyslope Elementary School ," Phoenix , Arizona ", 1991 Award | K-6 Mathematics 
 Linda Bosch , Woodlawn High School ," Baton Rouge , Louisiana ", 1991 Award | 7-12 Mathematics 
 Diane Boyd , Kingstree Elementary School ," Kingstree , South Carolina ", 1991 Award | K-6 Mathematics 
